Name,Party,Votes,Constituency,Region
HAMAD Khalfan Method,JAHAZI ASILIA,867,Kinondoni,Dar Es Salaam
MWANGOSI Johnson Mwakisansa,SAU,1053,Kinondoni,Dar Es Salaam
JOVITHA Florence Shayo,TLP,617,Kinondoni,Dar Es Salaam
MWAJUMA Noty Mirambo,UMD,180,Kinondoni,Dar Es Salaam
SULEIMAN Hemed Likolomboga,UPDP,262,Kinondoni,Dar Es Salaam
ZANGINA Shanang Zangina,ACT,1452,Ubungo,Dar Es Salaam
ZUWENA Mohamed Abdallah,ADC,553,Ubungo,Dar Es Salaam
MUABHI Renatus Gregory,CCK,1196,Ubungo,Dar Es Salaam
MASSABURI Didas John,CCM,59514,Ubungo,Dar Es Salaam
KUBENEA Saed Ahmed,CHADEMA,87666,Ubungo,Dar Es Salaam
KABENDERA Eugene Mbehikya,CHAUMMA,754,Ubungo,Dar Es Salaam
AMINA Amiri Mcheka,CHAUSTA,236,Ubungo,Dar Es Salaam
NGOLE Mashaka Khalfan,CUF,2283,Ubungo,Dar Es Salaam
SELEMANI Mbwana Kibanda,JAHAZI ASILIA,66,Ubungo,Dar Es Salaam
COASTER Jimmy Kibonde,MAKINI,66,Ubungo,Dar Es Salaam
GODLIVER Jones Manumbu,TLP,100,Ubungo,Dar Es Salaam
KAMANA Masoud Mrenda,UMD,21,Ubungo,Dar Es Salaam
NAOMI William Mabruki,UPDP,34,Ubungo,Dar Es Salaam
DIANAROSE Joseph Mhoja,ACT,536,Kigamboni,Dar Es Salaam
LEAH David Mbilinyi,AFP,111,Kigamboni,Dar Es Salaam
NDUGULILE Faustine Enelbert (DR),CCM,37917,Kigamboni,Dar Es Salaam
LUCY Simon Magereli,CHADEMA,33968,Kigamboni,Dar Es Salaam
RUNGWE Hamisi Sipunda,CHAUMMA,310,Kigamboni,Dar Es Salaam
JUMA Shaaban Nkumbi,CUF,2373,Kigamboni,Dar Es Salaam
ANTHONIA Maiko Mdosi,DP,26,Kigamboni,Dar Es Salaam
BEATRICE Lawrence Chiduo,UPDP,27,Kigamboni,Dar Es Salaam
SOUD Salumu Rajabu,ACT,4398,Mbagala,Dar Es Salaam
ZAITUNI Nurdin Bakari,ADA–TADEA,607,Mbagala,Dar Es Salaam
NDONGE Said Ndonge,AFP,739,Mbagala,Dar Es Salaam
MANGUNGUAli Issa,CCM,87249,Mbagala,Dar Es Salaam
REHEMA Kilai Mayuya,CHAUSTA,1314,Mbagala,Dar Es Salaam
KONDO Juma Bungo,CUF,77043,Mbagala,Dar Es Salaam
MWAKISOLE Emmy Hudson,DP,362,Mbagala,Dar Es Salaam
NASSORO Miraji Salehe,JAHAZI ASILIA,290,Mbagala,Dar Es Salaam
CECILIA Augustino Mmanga,MAKINI,264,Mbagala,Dar Es Salaam
MAPANDE Kassim Mohamed,NCCR MAGEUZI,2156,Mbagala,Dar Es Salaam
RAMADHANI Abdallah Nassoro,NRA,238,Mbagala,Dar Es Salaam
BEATRICE Richard Shenkunde,UDP,191,Mbagala,Dar Es Salaam
MBELAI Kilio Salum,UMD,50,Mbagala,Dar Es Salaam
MARY Moses Daudi,UPDP,81,Mbagala,Dar Es Salaam
NGULANGWA Mohamed Mshamu (ENG.),ACT,7941,Temeke,Dar Es Salaam
SHANI Ally Mussa,AFP,1877,Temeke,Dar Es Salaam
MTEMVU Abasi Zuberi,CCM,97557,Temeke,Dar Es Salaam
SHOO Amiri Abdu,CHAUMMA,5373,Temeke,Dar Es Salaam
ATHUMANI Amiri Mcheka,CHAUSTA,3799,Temeke,Dar Es Salaam
ABDALLAH Ally Mtolea,CUF,103231,Temeke,Dar Es Salaam
KIGULLAH Idd Kalekwa,DP,1318,Temeke,Dar Es Salaam
NANCY Said Mrikaria,TLP,910,Temeke,Dar Es Salaam
MAKUWA Felix Marcus,UPDP,459,Temeke,Dar Es Salaam
KAMUNYA Christina Alex,ACT,927,Dodoma Mjini,Dodoma
MAVUNDE Anthony Peter,CCM,84512,Dodoma Mjini,Dodoma
KIGAILA Benson Singo,CHADEMA,42140,Dodoma Mjini,Dodoma
KABUTALI Mohamed Kayumbo,CHAUMMA,411,Dodoma Mjini,Dodoma
NESTORY Godfrey Mahugwa,CHAUSTA,159,Dodoma Mjini,Dodoma
MHANDO Catherina Nkalulwa,UDP,87,Dodoma Mjini,Dodoma
RUNNA Kalya,UPDP,70,Dodoma Mjini,Dodoma
DR. MAULID Numa Majala,ACT,364,Kondoa Mjini,Dodoma
SANNDA Edwin Mgante,CCM,13333,Kondoa Mjini,Dodoma
MISANYA Mustafa Ally,CHADEMA,1822,Kondoa Mjini,Dodoma
KAMBI Bakari Ally,CUF,6783,Kondoa Mjini,Dodoma
SAUM Hussein Rashid,UDP,63,Kondoa Mjini,Dodoma
KAKA Eva Habel,ACT,646,Bahi:,Dodoma
BADWEL Omary Ahmad,CCM,48792,Bahi:,Dodoma
LYAMUNDA Mathias Paulo,CHADEMA,12527,Bahi:,Dodoma
EVA Adrian Mpagama,ACT,7664,Chilonwa:,Dodoma
NGOMOKA Thomas William,ADC,198,Chilonwa:,Dodoma
JOHN Stanley Chigongo,CHADEMA,4206,Chilonwa:,Dodoma
DAMALY Richard Seghana,TLP,75,Chilonwa:,Dodoma
MOHAMED Bakary Ramadhani,UPDP,75,Chilonwa:,Dodoma
NGOMOKA Thomas Joseph,ADC,801,Mtera,Dodoma
LUSINDE Livingstone Joseph,CCM,47147,Mtera,Dodoma
NYAMWANJI Christopher Mkweji,CHADEMA,6275,Mtera,Dodoma
FATAA Amiri Ibrahim,ACT,1873,Chemba,Dodoma
NKAMIA Juma Selemani,CCM,50223,Chemba,Dodoma
MHINDA Rogath Akilei,CUF,18906,Chemba,Dodoma
SAID Salim Njuki,ACT,3025,Kondoa,Dodoma
DKT. ASHATU Kachwamba Kijaji,CCM,38870,Kondoa,Dodoma
YASINI Shabani Bakari,CUF,21867,Kondoa,Dodoma
AMINA Issa Swalehe,UDP,271,Kondoa,Dodoma
NOEL Wilson Mgasa,ACT,1480,Kongwa,Dodoma
NDUGAI Job Yustino,CCM,70131,Kongwa,Dodoma
NGOBEI Essau Fremont,CHADEMA,20109,Kongwa,Dodoma
ELIUD Petro Masululu,TLP,166,Kongwa,Dodoma
SIMBACHAWENE George Boniface,CCM,37327,Kibakwe,Dodoma
MZINGA Msafiri William,CHADEMA,8447,Kibakwe,Dodoma
LUBELEJE George Malima,CCM,34819,Mpwapwa,Dodoma
CHISINJILA Ezekiel Elia,CHADEMA,12455,Mpwapwa,Dodoma
KANYASU Constantine John,CCM,36442,Geita Mjini,Geita
ROGERS Joseph Ruhega,CHADEMA,28907,Geita Mjini,Geita
MALEBO Peter Michael,CUF,808,Geita Mjini,Geita
EZEKIEL Sungwa Daniel,ACT,350,Nyang”Hwale,Geita
HUSSEIN Nassor Amar,CCM,36249,Nyang”Hwale,Geita
MABULA George Joseph,CHADEMA,9886,Nyang”Hwale,Geita
DOTO Mashaka Biteko,CCM,47147,Bukombe,Geita
PROF. KAHIGI Kanalwanda Kulikoyela,CHADEMA,29929,Bukombe,Geita
MUGONGO Fortunatus Tigahwa,ACT,860,Chato,Geita
DKT. KALEMANI Matogolo Medard,CCM,78817,Chato,Geita
LUKANIMA Benedicto Kulwizira,CHADEMA,32513,Chato,Geita
NGOFUMAN Batist Msafiri,ACT,1532,Busanda,Geita
BUKWIMBA Lolesia Jeremia,CCM,63043,Busanda,Geita
MAWAZO Alphonce Chemu,CHADEMA,45019,Busanda,Geita
MUSUKUMA Joseph Kasheku,CCM,44313,Geita,Geita
MANGILIMA Joseph Augustine,CHADEMA,18909,Geita,Geita
MALUGU Severine Magese,CUF,1786,Geita,Geita
MNUNKE Andrew Emmanuel,ACT,5464,Mbogwe,Geita
AUGUSTINO Manyanda Masele,CCM,32921,Mbogwe,Geita
MAGANGA Henry Nicodemas,CHADEMA,13975,Mbogwe,Geita
CHIKU Aflah Abwao,ACT,411,Iringa Mjini,Iringa Iringa
DAUDI Issa Masasi,ADC,123,Iringa Mjini,Iringa Iringa
MWAKALEBELA Wilfred Fredrick,CCM,32406,Iringa Mjini,Iringa Iringa
MSIGWA Simon Peter,CHADEMA,43154,Iringa Mjini,Iringa Iringa
PAULINA Lameck Mgimwa,CHAUSTA,66,Iringa Mjini,Iringa Iringa
ROBERT Alexander Kisinini,DP,56,Iringa Mjini,Iringa Iringa
DANIEL Eliuter Mwangili,ACT,219,Mafinga Mjini,Iringa Iringa
CHUMI Cosato David,CCM,18594,Mafinga Mjini,Iringa Iringa
MUNGAI William Joseph,CHADEMA,13108,Mafinga Mjini,Iringa Iringa
KASIKA William Mgoya,ACT,322,Ismani,Iringa Iringa
LUKUVI Vangimembe William,CCM,26157,Ismani,Iringa Iringa
SOSOPI Patrick Kapurwa,CHADEMA,15507,Ismani,Iringa Iringa
CHRISTINA Paul Makoga,CHAUSTA,48,Ismani,Iringa Iringa
SEMUYINGA Mwanahamisi Habibu,ACT,539,Kalenga,Iringa Iringa
MGIMWA Godfrey William,CCM,42656,Kalenga,Iringa Iringa
MDEDE Musa Leonard,CHADEMA,14178,Kalenga,Iringa Iringa
TAJI Omary Mtuga,ACT,739,Kilolo,Iringa Iringa
VENANCE Methuselah Mwamoto,CCM,45227,Kilolo,Iringa Iringa
KIKOTI Brian Bryson Enas,CHADEMA,32926,Kilolo,Iringa Iringa
MWAKA Lameck Mgimwa,CHAUSTA,236,Kilolo,Iringa Iringa
UTAMWA Ashery Fred,ACT,2828,Mufindi Kaskazini,Iringa Iringa
MGIMWA Hassan Mahmoud,CCM,24775,Mufindi Kaskazini,Iringa Iringa
MASONDA Kigobela Jumanne,CHADEMA,7317,Mufindi Kaskazini,Iringa Iringa
NYOMOLELO Salim Selemani,ACT,885,Mufindi Kusini,Iringa Iringa
MENDRAD Lutengano Kigola,CCM,41643,Mufindi Kusini,Iringa Iringa
MALATA Frank Timoth,CHADEMA,11815,Mufindi Kusini,Iringa Iringa
MATSAWILI Fahami Juma,ACT,453,Bukoba Mjini,Kagera
KHAMIS Juma Suedi Kagasheki,CCM,25565,Bukoba Mjini,Kagera
LWAKATARE Wilfred Muganyizi,CHADEMA,28112,Bukoba Mjini,Kagera
NDIBALEMA Edger Osward,TLP,81,Bukoba Mjini,Kagera
KABUYE Shangwe Phares,ACT,4540,Biharamulo Magharibi,Kagera
MBASSA Antony Gervase,CHADEMA,27332,Biharamulo Magharibi,Kagera
JULIUS Rumanus Mahano,CUF,236,Biharamulo Magharibi,Kagera
SYLIVAND Muttazaa Mugere,DP,99,Biharamulo Magharibi,Kagera
RUSHAKA Abdul Wakil,ACT,1226,Bukoba Vijijini,Kagera
RWEIKIZA Jasson Samson,CCM,70183,Bukoba Vijijini,Kagera
RUTASHOBYA Cyriacus Rutashobya,CHADEMA,22110,Bukoba Vijijini,Kagera
BUBELWA Ephraim Kaiza,CUF,4467,Bukoba Vijijini,Kagera
INNOCENT Lugha Bashungwa,CCM,57460,Karagwe,Kagera
PRINCEPIUS Sabinian Rwazo,CHADEMA,45185,Karagwe,Kagera
KAHANGWA Deusdedit Jovin,TLP,1747,Karagwe,Kagera
RUHINDA Bennett Kalemera,UDP,145,Karagwe,Kagera
ELIAS Rubona Revelian,ACT,306,Kyerwa,Kagera
INNOCENT Sebba Bilakwate,CCM,50630,Kyerwa,Kagera
MUTUNGIREHI Benedicto Mutachoka,CHADEMA,47047,Kyerwa,Kagera
EVANCE Lugeiyamu Kamenge,ACT,6,Nkenge,Kagera
KAMALA Diodorus Buberwa,CCM,39769,Nkenge,Kagera
VALERIAN Fortunatus Rugalabamu,CHADEMA,27848,Nkenge,Kagera
BAGACHWA Salim Abubakar,CUF,281,Nkenge,Kagera
ANGELINA Mutahiwa John,NCCR MAGEUZI,225,Nkenge,Kagera
KWEYAMBAWilliam Ishengoma,TLP,71,Nkenge,Kagera
CHARLES John Mwijage,CCM,41192,Muleba Kaskazini,Kagera
NGURUMO Ansbert Mugamba,CHADEMA,19396,Muleba Kaskazini,Kagera
PROF. ANNA KOKUHIRWA Kajumulo Tibaijuka,CCM,63120,Muleba Kusini,Kagera
KASHASIRA Alistedes Anatory,CHADEMA,53405,Muleba Kusini,Kagera
ANANIAS Mathias Rushojo,NCCR MAGEUZI,418,Muleba Kusini,Kagera
RWAKALELA Jonepo Cronery,ACT,694,Muleba Kusini,Kagera
DOTTO Jasson Bahemu,ACT,440,Ngara,Kagera
GASHAZA Alex Raphael,CCM,53387,Ngara,Kagera
BUJARI Peter Simon (Dr),CHADEMA,35254,Ngara,Kagera
HELLEN Adrian Ghozi,NCCR MAGEUZI,997,Ngara,Kagera
MAHIBU Masoudi Akida,ADC,59,Konde,Kaskazini Pemba
RAMADHAN Omar Ahmed,CCM,630,Konde,Kaskazini Pemba
KHATIB Said Haji,CUF,5795,Konde,Kaskazini Pemba
MBAROUK Ali Khamis,ACT,43,Jimbo La Wingwi,Kaskazini Pemba
AMINA Said Salum,ADC,27,Jimbo La Wingwi,Kaskazini Pemba
KHAMIS Shaame Hamad,CCM,442,Jimbo La Wingwi,Kaskazini Pemba
JUMA Kombo Hamad,CUF,4469,Jimbo La Wingwi,Kaskazini Pemba
MBAROUK Ali Khamis,ACT,43,Jimbo La Wingwi,Kaskazini Pemba
AMINA Said Salum,ADC,27,Jimbo La Wingwi,Kaskazini Pemba
KHAMIS Shaame Hamad,CCM,442,Jimbo La Wingwi,Kaskazini Pemba
JUMA Kombo Hamad,CUF,4469,Jimbo La Wingwi,Kaskazini Pemba
IDDI Faraji Ramadhan,ADA TADEA,42,Micheweni,Kaskazini Pemba
SHOKA Khamis Juma,ADC,83,Micheweni,Kaskazini Pemba
KHAMIS Juma Omar,CCM,1406,Micheweni,Kaskazini Pemba
ZENA Ali Muhidini,CHAUSTA,42,Micheweni,Kaskazini Pemba
HAJI Khatib Kai,CUF,4279,Micheweni,Kaskazini Pemba
HAMAD Shehe Tahir,ACT,57,Tumbe,Kaskazini Pemba
SALEH Mohammed Saleh,ADC,37,Tumbe,Kaskazini Pemba
RASHID Kassim Abdalla,CCM,486,Tumbe,Kaskazini Pemba
RASHID Ali Abdalla,CUF,4788,Tumbe,Kaskazini Pemba
ALI Salim Mussa,ACT,50,Gando,Kaskazini Pemba
KHALFAN Abubakar Said,ADC,20,Gando,Kaskazini Pemba
AMRANI Issa Seif,CCK,15,Gando,Kaskazini Pemba
SALIM Bakar Issa,CCM,773,Gando,Kaskazini Pemba
OTHMAN Omar Haji,CUF,5391,Gando,Kaskazini Pemba
ALI Makame Issa,ACT,128,Kojani,Kaskazini Pemba
FATMA Zuber Ali,ADC,28,Kojani,Kaskazini Pemba
BAKAR Hassan Hamad,AFP,66,Kojani,Kaskazini Pemba
MASOUD Ali Moh’d,CCM,1054,Kojani,Kaskazini Pemba
SULEIMAN Makame Issa,CHAUSTA,82,Kojani,Kaskazini Pemba
HAMAD Salim Maalim,CUF,7950,Kojani,Kaskazini Pemba
KHAMIS Faki Mgau,NRA,88,Kojani,Kaskazini Pemba
OMAR Khamis Ayoub,ACT,16,Mgogoni,Kaskazini Pemba
AMINA Mbarouk Zubeir,ADC,24,Mgogoni,Kaskazini Pemba
ISSA Jumaa Hamad,CCM,669,Mgogoni,Kaskazini Pemba
DR. SULEIMAN Ally Yussuf,CUF,5660,Mgogoni,Kaskazini Pemba
MARIAM Ali Hamad,ACT,37,Mtambwe,Kaskazini Pemba
HAMAD Ali Ali,ADC,18,Mtambwe,Kaskazini Pemba
ALI Salim Omar,AFP,8,Mtambwe,Kaskazini Pemba
KHAMIS Seif Ali,CCM,359,Mtambwe,Kaskazini Pemba
KHALIFA Mohammed Issa,CUF,5961,Mtambwe,Kaskazini Pemba
SALIM Sheha Salim,UPDP,246,Mtambwe,Kaskazini Pemba
HAITHAM Said Hamad,ACT,29,Wete,Kaskazini Pemba
ALI Masoud Juma,ADC,27,Wete,Kaskazini Pemba
DR.ABDALLA Saleh Abdalla,CCM,910,Wete,Kaskazini Pemba
MBAROUK Salim Ali,CUF,4950,Wete,Kaskazini Pemba
KHAMIS Yahaya Machano,CCM,3951,Chaani,Kaskazini Unguja
KHATIB Ali Juma,CUF,2664,Chaani,Kaskazini Unguja
MWINYI Abdalla Msanifu,JAHAZI ASILIA,153,Chaani,Kaskazini Unguja
HUSSEN Mussa Foum,UMD,33,Chaani,Kaskazini Unguja
HUSSEIN Hija Mtumwa,TADEA,15,Chaani,Kaskazini Unguja
ALI Omar Nahoda,ACT,833,Kijini,Kaskazini Unguja
MAKAME Mashaka Foum,CCM,2811,Kijini,Kaskazini Unguja
KHAMIS Moh’d Nassor,CUF,2533,Kijini,Kaskazini Unguja
AME Saleh Mganga,ADC,55,Mkwajuni,Kaskazini Unguja
KHAMIS Ali Vuai,CCM,42,Mkwajuni,Kaskazini Unguja
NAHODA Khamis Ali,CUF,3155,Mkwajuni,Kaskazini Unguja
MUSSA Vuai Ali,JAHAZI ASILIA,158,Mkwajuni,Kaskazini Unguja
IDDI Haji Khamis,ACT,40,Nungwi,Kaskazini Unguja
MWEVURA Kheir Haji,ADC,87,Nungwi,Kaskazini Unguja
MUSTAFA Makame Hamadi,CCM,3833,Nungwi,Kaskazini Unguja
YUSSUF Haji Khamis,CUF,4347,Nungwi,Kaskazini Unguja
MWAMVUA Haji Mohammed,ACT,34,Tumbatu,Kaskazini Unguja
HIJA Juma Othman,CCM,5434,Tumbatu,Kaskazini Unguja
RASHID Khamis Rashid,CUF,3838,Tumbatu,Kaskazini Unguja
MBAROUK Juma Khatib,CCM,2387,Bumbwini,Kaskazini Unguja
MUHAMMED Amour Muhammed,CUF,2725,Bumbwini,Kaskazini Unguja
SALMA Mkuya Shabani,UMD,18,Bumbwini,Kaskazini Unguja
ZIADA Muhammed Suleiman,UPDP,11,Bumbwini,Kaskazini Unguja
SADIFA Juma Khamis,CCM,4989,Donge,Kaskazini Unguja
KOMBO Moh’d Kombo,CUF,981,Donge,Kaskazini Unguja
NAIMA Salum Hamad,UDP,68,Donge,Kaskazini Unguja
KHAMIS Mtumwa Ali,CCM,2895,Kiwengwa,Kaskazini Unguja
NASSOR Mohamed Rashid,CUF,1040,Kiwengwa,Kaskazini Unguja
MAHELA Stephano Malongo,DP,13,Kiwengwa,Kaskazini Unguja
TAJO Khamis Omar,JAHAZI ASILIA,101,Kiwengwa,Kaskazini Unguja
MWAJUMA Kheir Makame,UMD,9,Kiwengwa,Kaskazini Unguja
SALMA Juma Ali,ADC,65,Mahonda,Kaskazini Unguja
BAHATI Ali Abeid,CCM,4460,Mahonda,Kaskazini Unguja
SULEIMAN Ahmed Suleiman,CUF,1295,Mahonda,Kaskazini Unguja
MWAJUMA Abdalla Ali,UDP,20,Mahonda,Kaskazini Unguja
BABU CHICHA Khamis Yussuf Machano,UMD,28,Mahonda,Kaskazini Unguja
THUWAIBA Salim Ali,UPDP,21,Mahonda,Kaskazini Unguja
GALUS Paschal Mgawe,ACT,1447,Mpanda Mjini,Katavi
MUSSA Abdallah Kasojela,ADC,228,Mpanda Mjini,Katavi
KAPUFI Sebastian Simon,CCM,29193,Mpanda Mjini,Katavi
KALINDE Jonas Edward,CHADEMA,18649,Mpanda Mjini,Katavi
LUCAS Daudi Pinda,ACT,566,Katavi,Katavi
ENG. ISACK Aloyce Kamwelwe,CCM,8956,Katavi,Katavi
GEORGE Michael Shambwe,CHADEMA,3491,Katavi,Katavi
ANNAMARYSTELA John Mallac,ACT,2854,Mpandavijijini,Katavi
KAKOSO Selemani Moshi,CCM,30512,Mpandavijijini,Katavi
MASANJA Mussa Katambi,CHADEMA,16454,Mpandavijijini,Katavi
UKIKWEMBE Pudenciana Wilfred,CCM,18809,Kavuu,Katavi
MANGWESHI Laurent Senga,CHADEMA,10815,Kavuu,Katavi
KISESA Stanslaus Michael,CHADEMA,259,Kavuu,Katavi
KIFUNDA Elias Julius,ACT,399,Nsimbo,Katavi
MBOGO Richard Philip,CCM,30292,Nsimbo,Katavi
GERALD Marcel Kitabu,CHADEMA,6879,Nsimbo,Katavi
ZITTO Kabwe Z. Ruyagwa,ACT-WAZALENDO,31546,Kigoma Mjini,Kigoma
MANDELA Daniel Ntaondenga,ADA TADEA,144,Kigoma Mjini,Kigoma
ABDALA Mustafa Abdala,ADC,109,Kigoma Mjini,Kigoma
LUBAE Maulidi Mchondo,AFP,41,Kigoma Mjini,Kigoma
MSENGA Juma Songoro,CCK,331,Kigoma Mjini,Kigoma
DR. KABOUROU Amani Walid,CCM,17344,Kigoma Mjini,Kigoma
RUMENYELA Daniel Edward,CHADEMA,12077,Kigoma Mjini,Kigoma
MELLA Masudi Mella,CHAUMMA,86,Kigoma Mjini,Kigoma
MISEKE Shabani Maranda,CHAUSTA,20,Kigoma Mjini,Kigoma
HADIJA Maulidi Keha,DP,11,Kigoma Mjini,Kigoma
BITENJWA Hassani Bitenjwa,JAHAZI ASILIA,32,Kigoma Mjini,Kigoma
HAMISI Ramadhani Kwezi,MAKINI,24,Kigoma Mjini,Kigoma
KISABYA Hassan Almas,NRA,19,Kigoma Mjini,Kigoma
MVANO Ramadhani Juma,SAU,19,Kigoma Mjini,Kigoma
JUMA Khalfani Mirembe,UMD,10,Kigoma Mjini,Kigoma
MWAJUMA Maliki Athumani,UPDP,11,Kigoma Mjini,Kigoma
MACHALI Moses Joseph,ACT,22512,Kasulu Mjini,Kigoma
