Name,Party,Votes,Constituency,Region
NAVOI Megro Mollel,ACT,342,Arusha Mjini,Arusha
PHILEMON Olaisi Mollel,CCM,35907,Arusha Mjini,Arusha
LEMA Godbless Jonathan,CHADEMA,68848,Arusha Mjini,Arusha
ZUBERI Mwinyi Hamisi,CUF,106,Arusha Mjini,Arusha
MKAMA Rashidi Jaralya,NRA,43,Arusha Mjini,Arusha
WILSON Loilole Laiser,ACT,2457,Arumeru Magharibi,Arusha
SABAYA Loy Thomas,CCM,32831,Arumeru Magharibi,Arusha
OLEMEISEYEKI Gibson Blasius,CHADEMA,94354,Arumeru Magharibi,Arusha
ALEX Pamphili,ACT,402,Karatu,Arusha
LORRI Wilbald Slaa (DR),CCM,32444,Karatu,Arusha
QAMBALO Willy Qulwi,CHADEMA,58061,Karatu,Arusha
JOHN Akonaay Tsilay,CUF,222,Karatu,Arusha
GAMBAY Joseph Gwandu,SAU,247,Karatu,Arusha
JULIUS Parteyie Syokino,ACT,253,Longido,Arusha
DR. STEVEN Lemomo Kiruswa,CCM,19352,Longido,Arusha
ONESMO Koimerek Nangole,CHADEMA,20076,Longido,Arusha
LUCAS Yohana Ole Ng’iri,CUF,307,Longido,Arusha
BATULO Esmail Ibrahim,ACT,622,Arumeru Mashariki,Arusha
MGINA Ibrahim Mustafa,AFP,236,Arumeru Mashariki,Arusha
JOHN Elipokea Pallangyo,APPT–MAENDELEO,0,Arumeru Mashariki,Arusha
PALLANGYO John Danielson,CCM,31847,Arumeru Mashariki,Arusha
NASSARI Joshua Samwel,CHADEMA,86694,Arumeru Mashariki,Arusha
NAVAYA James Ndaskoi,ACT,367,Monduli,Arusha
SOKOINE Namelok Edward,CCM,25925,Monduli,Arusha
KALANGA Julius Laizer,CHADEMA,35024,Monduli,Arusha
OLENASHA Tate William,CCM,29419,Ngorongoro,Arusha
NGORISA Elias Lyang’iri,CHADEMA,23979,Ngorongoro,Arusha
MAKAPA Hamisi Hassan,ACT,445,Ilala,Dar Es Salaam
JUMA Shariff Khamisi,ADC,67,Ilala,Dar Es Salaam
KILASA Mohamedi Mogwa,AFP,501,Ilala,Dar Es Salaam
ZUNGU Azzan Mussa,CCM,35818,Ilala,Dar Es Salaam
HASSANALI Muslim Haiderali Rajabali,CHADEMA,32833,Ilala,Dar Es Salaam
KAMALDEEN Hussein Muccadam,CUF,2376,Ilala,Dar Es Salaam
PETER Andrew Kadesha,DP,70,Ilala,Dar Es Salaam
MTILINZI Erasto John,JAHAZI ASILIA,25,Ilala,Dar Es Salaam
MOHAMED Salim Bendera,TLP,32,Ilala,Dar Es Salaam
ALLICE Muhuto Mashoo,UMD,62,Ilala,Dar Es Salaam
FRANK Mohamed Mwikongi,ACT,5211,Segerea,Dar Es Salaam
JACOB Joel Samuel,ADC,616,Segerea,Dar Es Salaam
KIWENDU Ashiri Saidi,AFP,229,Segerea,Dar Es Salaam
BONNAH Moses Kaluwa,CCM,94640,Segerea,Dar Es Salaam
ANATROPIA Lwehikila Theonest,CHADEMA,48623,Segerea,Dar Es Salaam
MASELE Hussein Masunga,CHAUMMA,805,Segerea,Dar Es Salaam
MTATIRO Julius,CUF,75744,Segerea,Dar Es Salaam
DAVID Daud Mwaijojele,DP,166,Segerea,Dar Es Salaam
MBWANA Salum Kibanda,JAHAZI ASILIA,289,Segerea,Dar Es Salaam
ISMAIL Ayoub Rushengo,TLP,117,Segerea,Dar Es Salaam
REHEMA Caswelly Mahinya,UDP,118,Segerea,Dar Es Salaam
JAMILA Abdallah Tumbo,UMD,56,Segerea,Dar Es Salaam
RUKIA Issa Mwene,UPDP,70,Segerea,Dar Es Salaam
ALLY Shaban Kifu,ACT,2465,Ukonga,Dar Es Salaam
ZIPORA Donald Peter,ADC,526,Ukonga,Dar Es Salaam
JERRY William Silaa,CCM,80908,Ukonga,Dar Es Salaam
WAITARA Mwita Mwikwabe,CHADEMA,90478,Ukonga,Dar Es Salaam
DAMIA Raphael Suluta,CHAUSTA,474,Ukonga,Dar Es Salaam
KHOMEIN Abdul Rwihula,CUF,2505,Ukonga,Dar Es Salaam
MARTHA Peter Ndaki,DP,124,Ukonga,Dar Es Salaam
KABIRIGA Murshid Khalidi,NRA,62,Ukonga,Dar Es Salaam
CARREN Gerald Mkumbo,UDP,88,Ukonga,Dar Es Salaam
OMAR Mohamed Kimossa,UMD,106,Ukonga,Dar Es Salaam
JANETH Joel Rite,ACT,2272,Kawe,Dar Es Salaam
MARK Manaseh Diganyeka,ADA TADEA,176,Kawe,Dar Es Salaam
QUEEN Cuthbert Sendiga,ADC,226,Kawe,Dar Es Salaam
FITINA Mohamed Salum,APPT–MAENDELEO,914,Kawe,Dar Es Salaam
WARIOBA Kippi Ivor,CCM,83061,Kawe,Dar Es Salaam
MDEE Halima James,CHADEMA,96432,Kawe,Dar Es Salaam
KIRENDEMO Malik Juma,CHAUMMA,396,Kawe,Dar Es Salaam
LEYLA Hussein Madibi,CUF,25,Kawe,Dar Es Salaam
MONICA Mfumya Alisha,DEMOKRASIA MAKINI,72,Kawe,Dar Es Salaam
MBONI Mhina Siriwa,UMD,109,Kawe,Dar Es Salaam
CHIKU Waziri Abdallah,UPDP,58,Kawe,Dar Es Salaam
NG’HILY Dickson Amos,ACT,651,Kibamba,Dar Es Salaam
JULIANNA Yesaya Mwailolo,ADC,113,Kibamba,Dar Es Salaam
TIMOTHY Batromeo Otto,AFP,88,Kibamba,Dar Es Salaam
DR. FENELLA Ephraim Mukangara,CCM,55410,Kibamba,Dar Es Salaam
MNYIKA John John,CHADEMA,79234,Kibamba,Dar Es Salaam
RAMADHANI Hiza Mussa,CHAUSTA,150,Kibamba,Dar Es Salaam
EMMANUEL Wanjara Marero,DP,66,Kibamba,Dar Es Salaam
ISIHAKA Omari Abdallah,JAHAZI ASILIA,81,Kibamba,Dar Es Salaam
MANENO Salehe Ndago,MAKIN,37,Kibamba,Dar Es Salaam
AMINA Hassani Mumba,UMD,35,Kibamba,Dar Es Salaam
BEATRICE Omary Muya,UPDP,30,Kibamba,Dar Es Salaam
KARAMA Masoud Suleiman,ACT,8294,Kinondoni,Dar Es Salaam
MARY Osward Mpangala,APPT MAENDELEO,621,Kinondoni,Dar Es Salaam
AZZAN Iddi Mohamed,CCM,65964,Kinondoni,Dar Es Salaam
MTULIA Maulid Said Abdala,CUF,70337,Kinondoni,Dar Es Salaam
