Name,Party,Votes,Constituency,Region
MTUMWA Ame Khamis,NCCR-Mageuzi,31,Dimani,Mjini Magharibi
SHEIKH Hamad Sheikh,ACT-Wazalendo,1010,Fuoni,Mjini Magharibi
MUSTAFA Maalim Suleiman,ADA-TADEA,54,Fuoni,Mjini Magharibi
Capt. ABBAS Ali Hassan,CCM,6408,Fuoni,Mjini Magharibi
MAGWIRA Peter Agathon,DP,18,Fuoni,Mjini Magharibi
MASOUD Rashid Masoud,N.R. A,14,Fuoni,Mjini Magharibi
AMOSI Matingash Kacheyekele,NCCR-Mageuzi,18,Fuoni,Mjini Magharibi
PANDU Haji Pandu,TLP,28,Fuoni,Mjini Magharibi
MOHAMMED Yussuf Maalim,ACT-Wazalendo,1966,Jang'Ombe,Mjini Magharibi
KING Ali Hassan Omar,CCM,7617,Jang'Ombe,Mjini Magharibi
HADIYA Omar Mwadini,CUF,86,Jang'Ombe,Mjini Magharibi
NURU Abdallah Shamte,DP,65,Jang'Ombe,Mjini Magharibi
ABUBAKAR Rashid Bakar,AAFP,40,Kiembesamaki,Mjini Magharibi
ALI Mohammed Khamis,ACT-Wazalendo,2164,Kiembesamaki,Mjini Magharibi
MOHAMMED Maulid Ali,CCM,7615,Kiembesamaki,Mjini Magharibi
SULEIMANI Mussa Suleimani,CUF,95,Kiembesamaki,Mjini Magharibi
DHAMIR Ramadhan Yakout,ACT-Wazalendo,1924,Kikwajuni,Mjini Magharibi
MASAUNI Hamad Masauni Yussuf,CCM,8218,Kikwajuni,Mjini Magharibi
ZEUDI Mvano Abdulahi,CHADEMA,245,Kikwajuni,Mjini Magharibi
ASMA Khamis Rehani,CUF,36,Kikwajuni,Mjini Magharibi
SAADA Mussa Ally,DEMOKRASIA MAKINI,28,Kikwajuni,Mjini Magharibi
ABDULHALIM Kheir Simai,N.R. A,29,Kikwajuni,Mjini Magharibi
LAILA Rajab Khamis,NCCR-Mageuzi,37,Kikwajuni,Mjini Magharibi
SALUM Issa Vuai,ACT-Wazalendo,1143,Kwahani,Mjini Magharibi
AHMED Yahya Abdulwakil,CCM,6222,Kwahani,Mjini Magharibi
ALI Khatib Ali,CUF,65,Kwahani,Mjini Magharibi
OTHMAN Abdullrahman Juma,DEMOKRASIA MAKINI,74,Kwahani,Mjini Magharibi
SHADIDA Ali Makame,AAFP,27,Magomeni,Mjini Magharibi
HAJI Dude Haji,ACT-Wazalendo,1913,Magomeni,Mjini Magharibi
KHADIJA Saidi Omari,ADA-TADEA,31,Magomeni,Mjini Magharibi
ALI Mohammed Ali,ADC,38,Magomeni,Mjini Magharibi
MWANAKHAMIS Kassim Said,CCM,6328,Magomeni,Mjini Magharibi
SALAMA Haji Saleh,CHAUMMA,30,Magomeni,Mjini Magharibi
SIMBA Jafari Ayuba,DEMOKRASIA MAKINI,7,Magomeni,Mjini Magharibi
KITARA Imani Ali,N.R. A,24,Magomeni,Mjini Magharibi
AMANA Suleiman Mzee,TLP,33,Magomeni,Mjini Magharibi
HALIMA Ibrahim Mohammed,ACT-Wazalendo,3259,Malindi,Mjini Magharibi
MOHAMED Suleiman Omar,CCM,7807,Malindi,Mjini Magharibi
MOHAMED Suleiman Nassor,CHADEMA,216,Malindi,Mjini Magharibi
HAFIDH Anthony Mussa,CUF,54,Malindi,Mjini Magharibi
MGENI Hamad Khamis,DEMOKRASIA MAKINI,32,Malindi,Mjini Magharibi
GADAFI Suleiman Mohamed Abdalla,N.R. A,26,Malindi,Mjini Magharibi
RAISA Abdalla Mussa,ACT-Wazalendo,1539,Mfenesini,Mjini Magharibi
MTUMWA Faizi Sadiki,ADC,353,Mfenesini,Mjini Magharibi
ZUBEDA Khamis Shaib,CCM,7785,Mfenesini,Mjini Magharibi
IBRAHIM Khamis Ali,CHADEMA,151,Mfenesini,Mjini Magharibi
DHIFAA Mohammed Bakar,CUF,90,Mfenesini,Mjini Magharibi
NAIMA Salum Hamad,UDP,30,Mfenesini,Mjini Magharibi
MACHANO Khamis Ame,UMD,47,Mfenesini,Mjini Magharibi
ABDALLA Suleiman Ali,ACT-Wazalendo,1936,Mpendae,Mjini Magharibi
TOUFIQ Salim Hassan Turky,CCM,5529,Mpendae,Mjini Magharibi
HASSAN Makame Haji,CHADEMA,154,Mpendae,Mjini Magharibi
KHAMIS Masoud Shaib,CUF,37,Mpendae,Mjini Magharibi
AMINA Bakari Moh'd,N.R. A,15,Mpendae,Mjini Magharibi
Dkt. JUMA Khamis Juma,ACT-Wazalendo,3008,Mtoni,Mjini Magharibi
ABDUL-HAFAR Idrissa Juma,CCM,9468,Mtoni,Mjini Magharibi
MOHAMED Ali Rashid,CHADEMA,295,Mtoni,Mjini Magharibi
FUWARDA Said Ali,CUF,66,Mtoni,Mjini Magharibi
RAMADHAN Fungameza Nzini,DP,35,Mtoni,Mjini Magharibi
ZULEKHA Said Moh'd,UPDP,27,Mtoni,Mjini Magharibi
AMOUR Rashid Suleiman,AAFP,20,Mwanakwerekwe,Mjini Magharibi
MBARAK Daud Mbarak,ACT-Wazalendo,3197,Mwanakwerekwe,Mjini Magharibi
AZIZA Abdallah Muhammad,ADA-TADEA,30,Mwanakwerekwe,Mjini Magharibi
MOHAMMED Juma Mohammed,ADC,65,Mwanakwerekwe,Mjini Magharibi
KASSIM Hassan Haji,CCM,8912,Mwanakwerekwe,Mjini Magharibi
ASHA Suwed Hamad,CHADEMA,358,Mwanakwerekwe,Mjini Magharibi
JUMA Ayuba Sururu,CUF,89,Mwanakwerekwe,Mjini Magharibi
RAMLA Muhdhar Daudi,DP,14,Mwanakwerekwe,Mjini Magharibi
KOMBO Ali Juma,N.R. A,19,Mwanakwerekwe,Mjini Magharibi
BISHARA Iddi Khatib,NCCR-Mageuzi,20,Mwanakwerekwe,Mjini Magharibi
SLIM Suleiman Aly,TLP,15,Mwanakwerekwe,Mjini Magharibi
RASHID Abdalla Moh'd,UPDP,16,Mwanakwerekwe,Mjini Magharibi
AME Khamis Ame,ACT-Wazalendo,2531,Mwera,Mjini Magharibi
ZAHOR Mohammed Haji,CCM,6945,Mwera,Mjini Magharibi
ALAWI Ali Alawi,CHADEMA,199,Mwera,Mjini Magharibi
FATMA Omar Salum,CHAUMMA,43,Mwera,Mjini Magharibi
ANTI HABAT Kassim Mohamed,CUF,72,Mwera,Mjini Magharibi
JUMA Talib Ali,UMD,23,Mwera,Mjini Magharibi
BAKARI Mjaka Hassan,UPDP,45,Mwera,Mjini Magharibi
JABIR Idrissa Yunus,ACT-Wazalendo,2582,Pangawe,Mjini Magharibi
HAJI Amour Haji,CCM,6601,Pangawe,Mjini Magharibi
HUZAIMA Ali Hamdan,CHADEMA,304,Pangawe,Mjini Magharibi
NAHODA Haji Nahoda,CUF,117,Pangawe,Mjini Magharibi
JOHN Fulgence Mnene,DEMOKRASIA MAKINI,59,Pangawe,Mjini Magharibi
SAUM Ali Ame,N.R. A,46,Pangawe,Mjini Magharibi
AZANI Awesu Azani,SAU,43,Pangawe,Mjini Magharibi
MAUWA Mohammed Mussa,ACT-Wazalendo,1799,Shaurimoyo,Mjini Magharibi
ALI Juma Mohamed,CCM,8792,Shaurimoyo,Mjini Magharibi
ABDI Khamis Ramadhan,CUF,110,Shaurimoyo,Mjini Magharibi
HAMID Ame Mosi,NCCR-Mageuzi,86,Shaurimoyo,Mjini Magharibi
BAHATI Juma Othman,UPDP,42,Shaurimoyo,Mjini Magharibi
SALEH Mohammed Saleh,ACT-Wazalendo,2551,Welezo,Mjini Magharibi
MAULID Saleh Ali,CCM,7307,Welezo,Mjini Magharibi
YAHYA Alawi Omar,CHADEMA,219,Welezo,Mjini Magharibi
MOHAMMED Pandu Ali,CUF,73,Welezo,Mjini Magharibi
RAHIKA Abdalla Haji,UMD,30,Welezo,Mjini Magharibi
FATMA Ali Khamis,UPDP,32,Welezo,Mjini Magharibi
ASENGA Abubakari Damian,CCM,51452,Kilombero,Morogoro
MWADUA George Cosmas,CUF,22971,Kilombero,Morogoro
EDSONI Faktusi Makinda,ACT-Wazalendo,322,Malinyi,Morogoro
MGUNGUSI Antipas Zeno,CCM,37485,Malinyi,Morogoro
IMELDA Emmanuel Malley,CHADEMA,20795,Malinyi,Morogoro
FUSSI Hadija Hassan,CUF,259,Malinyi,Morogoro
CHAYA Kennedy Edward,NCCR-Mageuzi,128,Malinyi,Morogoro
LONDO Dennis Lazaro,CCM,31318,Mikumi,Morogoro
HAULE Joseph Leornad,CHADEMA,18202,Mikumi,Morogoro
SHAIBU Hussein Sheshe,ACT-Wazalendo,720,Morogoro Mjini,Morogoro
ABOOD Abdulaziz Mohamed,CCM,171349,Morogoro Mjini,Morogoro
DEVOTA Mathew Minja,CHADEMA,14139,Morogoro Mjini,Morogoro
MLAPAKOLO Abeid Haroub,CUF,562,Morogoro Mjini,Morogoro
SALIM Alaudin Hasham,CCM,32613,Ulanga,Morogoro
SIMBA Selestina Emmanuel,CHADEMA,9393,Ulanga,Morogoro
BATULI Salehe Mtenga,CUF,459,Ulanga,Morogoro
TUMBO Erasto Kichamo,NCCR-Mageuzi,147,Ulanga,Morogoro
BWANAUSI Dismas Jerome,ACT-Wazalendo,7789,Lulindi,Mtwara
MCHUNGAHELA Issa Ally,CCM,27515,Lulindi,Mtwara
BONIFACE Sijaona Mitole,CHADEMA,1524,Lulindi,Mtwara
AMINA Thomas Mshamu,CUF,378,Lulindi,Mtwara
MWADEWA Mustafa Musa,ACT-Wazalendo,536,Masasi Mjini,Mtwara
MWAMBE Geoffrey Idelphonce,CCM,17147,Masasi Mjini,Mtwara
SWALEHE Mustapha Ahmad,CHADEMA,1434,Masasi Mjini,Mtwara
KATANI Hamza Hakika,CUF,14087,Masasi Mjini,Mtwara
NANNYOHO Ahmadi Musa,NLD,103,Masasi Mjini,Mtwara
ULEDI Hassani Abdallah,ACT-Wazalendo,1113,Mtwara Mjini,Mtwara
MTENGA Hasan Seleman,CCM,22411,Mtwara Mjini,Mtwara
MALAPO Issa Tunza,CHADEMA,3465,Mtwara Mjini,Mtwara
MAFTAHA Abdallah Nachuma,CUF,13586,Mtwara Mjini,Mtwara
MTOJIMA Hashimu Mohamed,DP,78,Mtwara Mjini,Mtwara
HANGA Mohamed Hassan,NCCR-Mageuzi,85,Mtwara Mjini,Mtwara
NABARAKA Fuata Issa,ACT-Wazalendo,1372,Mtwara Vijijini,Mtwara
GHASIA Hawa Abdulrahman,CCM,18564,Mtwara Vijijini,Mtwara
IDRISA Mtuma Yusuph,CHADEMA,1020,Mtwara Vijijini,Mtwara
SHAMSIA Azizi Mtamba,CUF,26215,Mtwara Vijijini,Mtwara
LIUYE Ismail Mohamed,NCCR-Mageuzi,207,Mtwara Vijijini,Mtwara
KADINDA Colleta Jeremia,ACT-Wazalendo,755,Nanyamba,Mtwara
CHIKOTA Abdallah Dadi,CCM,22262,Nanyamba,Mtwara
MAYENDA Dadi Mohamedi,CHADEMA,2024,Nanyamba,Mtwara
MOHAMEDI Hasani Ndaile,CUF,11265,Nanyamba,Mtwara
NAMMAVA Asia Mohamed,NCCR-Mageuzi,69,Nanyamba,Mtwara
NAMAGONO Hassan Loan,ACT-Wazalendo,1150,Nanyumbu,Mtwara
MHATA Ally Yahya,CCM,37875,Nanyumbu,Mtwara
NYUCHI Mansa Alfred,CHADEMA,6829,Nanyumbu,Mtwara
MUSA Athumani Musa,CUF,1943,Nanyumbu,Mtwara
CECIL Mwambe David,CCM,30589,Ndanda,Mtwara
BAKARI Makumbuli Yusufu,CUF,8983,Ndanda,Mtwara
CHILUMBA Mbaraka Ismaili,ACT-Wazalendo,733,Newala Mjini,Mtwara
MKUCHIKA George Huruma,CCM,18705,Newala Mjini,Mtwara
CHILINDIMA Issa Juma,CHADEMA,12546,Newala Mjini,Mtwara
WALINDI Yusuph Rashidi,CUF,2444,Newala Mjini,Mtwara
CHIMETA Dadi Chimeta,ACT-Wazalendo,1346,Newala Vijijini,Mtwara
MTANDA Maimuna Salum,CCM,21468,Newala Vijijini,Mtwara
NGOMBE Karimu Seif,CHADEMA,786,Newala Vijijini,Mtwara
MNEKE Jafari Saidi,CUF,13899,Newala Vijijini,Mtwara
ALFONCE Andrea Hitu,ACT-Wazalendo,20799,Tandahimba,Mtwara
HAMISI Chibwana Hasan,ADC,1863,Tandahimba,Mtwara
KATANI Ahmadi Katani,CCM,51051,Tandahimba,Mtwara
NASRA Mahamudu Tayari,CHADEMA,6827,Tandahimba,Mtwara
MAKUMBULI Hamisi Uledi,CUF,4152,Tandahimba,Mtwara
MJAGAMA Ahmadi M-baraka,NCCR-Mageuzi,1204,Tandahimba,Mtwara
RUHABUZA Faustine Precide,ACT-Wazalendo,937,Buchosa,Mwanza
SHIGONGO Eric James,CCM,79950,Buchosa,Mwanza
MAYALA Abbas Eliashibu,CHADEMA,11285,Buchosa,Mwanza
FELESIAN Selestine Lutandula,CUF,317,Buchosa,Mwanza
MKIWA Adam Kimwanga,ACT-Wazalendo,2761,Ilemela,Mwanza
SHABANI Haji Itutu,ADC,560,Ilemela,Mwanza
Dkt. ANGELINE Sylvester Lubala,CCM,147724,Ilemela,Mwanza
GRAYSON Wanzagi Warioba,CHADEMA,24022,Ilemela,Mwanza
MOHAMED Juma Msanya,DEMOKRASIA MAKINI,664,Ilemela,Mwanza
CLEMENT Pancras Peter Masonyi,DP,102,Ilemela,Mwanza
AHMAD Muhamad Mkangwa,N.R. A,218,Ilemela,Mwanza
MANSOOR Shanif Jamal,CCM,57943,Kwimba,Mwanza
JOSEPH Bonephace Kayanda,CUF,1917,Kwimba,Mwanza
MAYEKA Kiteja Kawe,DEMOKRASIA MAKINI,923,Kwimba,Mwanza
ESAU Sospeter Lushanga,ACT-Wazalendo,2953,Magu,Mwanza
KISWAGA Boniventura Destery,CCM,139975,Magu,Mwanza
NDINDAGI Reginald Kwizela,CHADEMA,14479,Magu,Mwanza
CHAGULANI Adams Ibrahim,ACT-Wazalendo,1174,Nyamagana,Mwanza
MANYOGOTE Thomson Enos,ADA-TADEA,539,Nyamagana,Mwanza
MABULA Stanslaus Shing'oma,CCM,73591,Nyamagana,Mwanza
PAMBALU John Justine,CHADEMA,42209,Nyamagana,Mwanza
WILLYFREDY Alfredy Rugina,CHAUMMA,356,Nyamagana,Mwanza
CHIEF Lutalosa Yemba,CUF,486,Nyamagana,Mwanza
MASANJA Anacleth Chamba,DEMOKRASIA MAKINI,143,Nyamagana,Mwanza
REBEKA Samson Mwita,DP,86,Nyamagana,Mwanza
PAUL Lukas Soleji,N.R. A,62,Nyamagana,Mwanza
TERESIA John Mkami,NCCR-Mageuzi,81,Nyamagana,Mwanza
EUNICE Masanja Masenga,SAU,57,Nyamagana,Mwanza
MATATA Mtinda Henry,TLP,122,Nyamagana,Mwanza
RAMADHANI Uhadi Mtoro,UDP,164,Nyamagana,Mwanza
TABASAM Hamis Mwagao,CCM,59734,Sengerema,Mwanza
VICTORIA Benedict Tindabatangile,CHADEMA,7949,Sengerema,Mwanza
MCHELE John Mathias,CUF,497,Sengerema,Mwanza
KASALALI Emmanuel Mageni,CCM,31373,Sumve,Mwanza
SANGALALI Shija Masanja,CHADEMA,6285,Sumve,Mwanza
JOSEPH Stephen Madeleke,CUF,722,Sumve,Mwanza
MISANA Mtaki Gatawa,ACT-Wazalendo,916,Ukerewe,Mwanza
MKUNDI Joseph Michael,CCM,91893,Ukerewe,Mwanza
SIJAONA James Karoli,CHADEMA,23361,Ukerewe,Mwanza
LUCAS Lubilo Busanya,UPDP,534,Ukerewe,Mwanza
NUHU Lameck Deda,ACT-Wazalendo,240,Makambako,Njombe
DEO Kasenyenda Sanga,CCM,24766,Makambako,Njombe
KADUMA General Reuben,CHADEMA,5109,Makambako,Njombe
LINUS Aloyce Sanga,CHAUMMA,145,Makambako,Njombe
JOMA Amosi Mwakisitu,ACT-Wazalendo,762,Makete,Njombe
FESTO Richard Sanga,CCM,24237,Makete,Njombe
MTWEVE Ahadi Asajile,CHADEMA,5077,Makete,Njombe
GRACE Rodrick Jekela,NCCR-Mageuzi,981,Makete,Njombe
MWANYIKA Deodatus Philip,CCM,29553,Njombe Mjini,Njombe
MASONGA Emmanuel Godfrey,CHADEMA,5940,Njombe Mjini,Njombe
MYEGETA Edward William,DP,162,Njombe Mjini,Njombe
Dkt. FESTO John Dugange,CCM,38988,Wanging'Ombe,Njombe
DISMAS Andrea Luhwago,CHADEMA,4381,Wanging'Ombe,Njombe
MAEMBE Vitali Mathias,ACT-Wazalendo,5592,Bagamoyo,Pwani
MKENGE Muharami Shabani,CCM,23159,Bagamoyo,Pwani
LUKUMAI Emmanuel Matayo,CHADEMA,2645,Bagamoyo,Pwani
NGULANGWA Mohamed Mshamu,CUF,692,Bagamoyo,Pwani
AMINA Mselem Juma Mshana,ACT-Wazalendo,882,Kibaha Mjini,Pwani
SCOLA Deonatus Kahana,ADC,199,Kibaha Mjini,Pwani
Dkt. MZIWANDA Gabriel Dishon,CCK,221,Kibaha Mjini,Pwani
KOKA Silyvestry Francis,CCM,29797,Kibaha Mjini,Pwani
MTALLY Michael Paul,CHADEMA,12234,Kibaha Mjini,Pwani
JUMANNE Mohamed Urembo,CHAUMMA,236,Kibaha Mjini,Pwani
SONGORO Mwajuma Hassani,CUF,264,Kibaha Mjini,Pwani
JOACHIM Geofrey Mahega,NCCR-Mageuzi,202,Kibaha Mjini,Pwani
SAHABA Zacharia Madawili,NLD,49,Kibaha Mjini,Pwani
KYARA Majalio Paul,SAU,58,Kibaha Mjini,Pwani
HASHIMU Hamada Abdahamani,ACT-Wazalendo,465,Kibaha Vijijini,Pwani
HELPHE Ezekiel Mbwambo,CCK,168,Kibaha Vijijini,Pwani
MWAKAMO Michael Costantino,CCM,18388,Kibaha Vijijini,Pwani
KINABO Edward Edmond,CHADEMA,5083,Kibaha Vijijini,Pwani
KHALIFA Selemani Mgonela,CUF,219,Kibaha Vijijini,Pwani
MWAZANI Mrisho Mkopi,UPDP,62,Kibaha Vijijini,Pwani
TWAHA Ally Mpembenwe,CCM,26104,Kibiti,Pwani
KURWA Nkwera Lubuva,CHADEMA,5089,Kibiti,Pwani
ZAVALLA Mussa Zavalla Pazzi,ACT-Wazalendo,616,Kisarawe,Pwani
JAFO Selemani Saidi,CCM,26739,Kisarawe,Pwani
BARAKA Mussa Nandonde,CHADEMA,2402,Kisarawe,Pwani
DIKULUMBALE Khadija Almas,CUF,2039,Kisarawe,Pwani
ASHA Athumani Chuma,DP,175,Kisarawe,Pwani
RIZIKI Shahari Mngwali,ACT-Wazalendo,2342,Mafia,Pwani
KIPANGA Juma Omari,CCM,12691,Mafia,Pwani
OMARI Ally Hassani,CHADEMA,713,Mafia,Pwani
ZAITUNI Alliy Bhai,CUF,1759,Mafia,Pwani
KIPENDE Omari Hamis,AAFP,1340,Mkuranga,Pwani
MTAMBO Mohamed Juma,ACT-Wazalendo,4056,Mkuranga,Pwani
ULEGA Abdallah Hamis,CCM,52612,Mkuranga,Pwani
NAMKOVEKA Ibrahim Hassan,CHADEMA,3951,Mkuranga,Pwani
NGWALE Kinjeketile Ndete,CUF,3411,Mkuranga,Pwani
MOHAMED Khamis Mohamed,N.R. A,357,Mkuranga,Pwani
MCHUCHULI Kuruthum Jumanne,ACT-Wazalendo,7906,Rufiji,Pwani
MCHENGERWA Mohamed Omary,CCM,20860,Rufiji,Pwani
ANIPHER Kassim Chiwili,CHADEMA,599,Rufiji,Pwani
CHUMA Hasani Salange,CUF,2138,Rufiji,Pwani
NJWECHWE Athumani Hamisi,UDP,149,Rufiji,Pwani
AMBILIKILE Charles Mwambaja,CCK,1288,Kwela,Rukwa
DEUS Clement Sangu,CCM,48918,Kwela,Rukwa
NGOGO Naftal Daniel,CHADEMA,23542,Kwela,Rukwa
SOLOMONI Pengo Jailos,NCCR-Mageuzi,447,Kwela,Rukwa
JANUARY Festus Yamsebo,ACT-Wazalendo,343,Nkasi Kaskazini,Rukwa
ALLY Mohamed Keissy,CCM,19972,Nkasi Kaskazini,Rukwa
AIDA Joseph Khenani,CHADEMA,21226,Nkasi Kaskazini,Rukwa
KONGA Vickson Amon,NCCR-Mageuzi,113,Nkasi Kaskazini,Rukwa
VINCENT Paul Mbogo,CCM,20934,Nkasi Kusini,Rukwa
SOTOKA Alfred Daniel,CHADEMA,8783,Nkasi Kusini,Rukwa
SULEIMAN Abdalla Sanani,ACT-Wazalendo,622,Sumbawanga Mjini,Rukwa
AESHI Khalfan Hilaly,CCM,36807,Sumbawanga Mjini,Rukwa
IKUWO Sadrick Malila,CHADEMA,17829,Sumbawanga Mjini,Rukwa
JULIUS Potifala Mizengo,CUF,171,Sumbawanga Mjini,Rukwa
KAFUKU Doris Geanes,NCCR-Mageuzi,229,Sumbawanga Mjini,Rukwa
MICHAEL Paul Lubava,UDP,232,Sumbawanga Mjini,Rukwa
KEVIN Timoteus Kinunda,ACT-Wazalendo,572,Mbinga Mjini,Ruvuma
MBUNDA Jonas William,CCM,26698,Mbinga Mjini,Ruvuma
MARIO Efrem Millinga,CHADEMA,5243,Mbinga Mjini,Ruvuma
STEPHANO Sospeter Maduhu,NCCR-Mageuzi,137,Mbinga Mjini,Ruvuma
BENAYA Liuka Kapinga,CCM,79371,Mbinga Vijijini,Ruvuma
AKITANDA Benjamin Edwin,CHADEMA,5130,Mbinga Vijijini,Ruvuma
BONIFASIA Aidan Mapunda,ACT-Wazalendo,6208,Namtumbo,Ruvuma
VITA Rashid Kawawa,CCM,60138,Namtumbo,Ruvuma
ZAMDA Abdallah Ngonyani,CHADEMA,2572,Namtumbo,Ruvuma
JHIKOLABWINO Siza Manyika,ACT-Wazalendo,869,Nyasa,Ruvuma
Eng. MANYANYA Stella Martin,CCM,34837,Nyasa,Ruvuma
NGWATA Saulo Cuthbert,CHADEMA,4231,Nyasa,Ruvuma
JACOB Rafael Mapunda,ACT-Wazalendo,511,Peramiho,Ruvuma
JENISTA Joakim Mhagama,CCM,27479,Peramiho,Ruvuma
NICHOLAUS Silvester Mapunda,CHADEMA,3440,Peramiho,Ruvuma
NEEMA Fedinand Tawete,CUF,144,Peramiho,Ruvuma
LIKAPO Bakari Likapo,ACT-Wazalendo,2047,Songea Mjini,Ruvuma
ANNA Daniel Kapinga,ADA-TADEA,299,Songea Mjini,Ruvuma
NDUMBARO Damas Daniel,CCM,39783,Songea Mjini,Ruvuma
ADEN Bahati Mayala,CHADEMA,15145,Songea Mjini,Ruvuma
MAMBO Ahamadi Aroni,CUF,132,Songea Mjini,Ruvuma
KHALIFA Musa Tengeneza,NCCR-Mageuzi,161,Songea Mjini,Ruvuma
ADO Shaibu Ado,ACT-Wazalendo,18300,Tunduru Kaskazini,Ruvuma
HASSAN Zidadu Kungu,CCM,30056,Tunduru Kaskazini,Ruvuma
MTUTURA Abdallah Mtutura,ACT-Wazalendo,23968,Tunduru Kusini,Ruvuma
MPAKATE Daimu Iddi,CCM,26982,Tunduru Kusini,Ruvuma
PILLAH Mariamu Mohamed,CUF,1392,Tunduru Kusini,Ruvuma
IDSAM Swaleh Mapande,ACT-Wazalendo,1094,Kahama Mjini,Shinyanga
KISHIMBA Jumanne Kibera,CCM,35709,Kahama Mjini,Shinyanga
THADEO Joachim Assechekamwati,CHADEMA,10740,Kahama Mjini,Shinyanga
HOSEA Ezekiel Paul,CUF,420,Kahama Mjini,Shinyanga
ZAIDI Masoud Muyoba,DP,74,Kahama Mjini,Shinyanga
IBRAHIM Mussa Kwikima,NCCR-Mageuzi,335,Kahama Mjini,Shinyanga
BUTONDO Nyangindu Boniphace,CCM,54864,Kishapu,Shinyanga
IDD Salum Amri,CHADEMA,9903,Kishapu,Shinyanga
MAKOMBA Godwin Michael,ACT-Wazalendo,883,Shinyanga Mjini,Shinyanga
KATAMBI Paschal Patrobass,CCM,31831,Shinyanga Mjini,Shinyanga
SALOME Wycliffe Makamba,CHADEMA,16608,Shinyanga Mjini,Shinyanga
ABDALLAH Issa Sube,DEMOKRASIA MAKINI,99,Shinyanga Mjini,Shinyanga
SHIGINO Charles Hundaha,NCCR-Mageuzi,133,Shinyanga Mjini,Shinyanga
NTEZIMANA Malongo Elias,TLP,65,Shinyanga Mjini,Shinyanga
ISSA Yahya Hamis,UDP,69,Shinyanga Mjini,Shinyanga
AHMED Ally Salum,CCM,68066,Solwa,Shinyanga
MWINULA Washington Kasonzo,CHADEMA,11785,Solwa,Shinyanga
SHANGALUKA Aloyce Shija,CUF,1111,Solwa,Shinyanga
IBRAHIM Leonard Kitela,NCCR-Mageuzi,526,Solwa,Shinyanga
SOPHIA Dittu Ikemeko,ACT-Wazalendo,944,Bariadi,Simiyu
ENG. KUNDO Andrea Mathew,CCM,92488,Bariadi,Simiyu
MAENDELEO Bernard Makoye,CHADEMA,33339,Bariadi,Simiyu
ALLY Abdallah Mwindard,CUF,407,Bariadi,Simiyu
ASKOFU ERASMUS Ndege Lilanga,NCCR-Mageuzi,233,Bariadi,Simiyu
WINGABOMBULI Mabula Migata,UDP,726,Bariadi,Simiyu
SELEMANI Misango,ACT-Wazalendo,1516,Busega,Simiyu
SIMON Songe Lusengekile,CCM,35770,Busega,Simiyu
ADAM Alphonce Komanya,CHADEMA,9063,Busega,Simiyu
LAULENSIA Yahona Machanya,CUF,285,Busega,Simiyu
NJALU Daudi Silanga,CCM,48968,Itilima,Simiyu
MACHUMU Maximillian Kadutu,CHADEMA,28274,Itilima,Simiyu
PAUL Danhi Nyaga,CUF,349,Itilima,Simiyu
NGAGANI Simon Charles,UDP,3584,Itilima,Simiyu
LUHAGA Joelson Mpina,CCM,18335,Kisesa,Simiyu
FRANCIS Kishabi Masanja,CHADEMA,14944,Kisesa,Simiyu
LYDIA Mbuke Bendera,ADA-TADEA,1931,Maswa Magharibi,Simiyu
MASHIMBA Mashauri Ndaki,CCM,28104,Maswa Magharibi,Simiyu
CASLIDA Josephat Kamali,CHADEMA,8643,Maswa Magharibi,Simiyu
MIPAWA Mathias Shimbi Ndilizu,ADA-TADEA,1300,Maswa Mashariki,Simiyu
NYONGO Stanslaus Haroon,CCM,25410,Maswa Mashariki,Simiyu
MAHANGI James Kija,CHADEMA,11847,Maswa Mashariki,Simiyu
KASULUMBAYI Sylvester Mhoja,CUF,2342,Maswa Mashariki,Simiyu
LEAH Jeremiah Komanya,CCM,16239,Meatu,Simiyu
JOHNSTON Hermes Luzibukya,CHADEMA,14750,Meatu,Simiyu
Dkt. MWIGULU Nchemba Madelu,CCM,38865,Iramba Magharibi,Singida
JESCA David Kishoa,CHADEMA,6520,Iramba Magharibi,Singida
ISACK Francis Mtinga,CCM,35457,Iramba Mashariki,Singida
JIMBO LA UCHAGUZI LA MANYONI MAGHARIBIOSCAR Alex Kapalale,CHADEMA,6716,Iramba Mashariki,Singida
OSCAR Alex Kapalale,CHADEMA,6716,Manyoni Magharibi,Singida
CHAYA Pius Stephen,CCM,36284,Manyoni Mashariki,Singida
AISHA Yusufu Luja,CHADEMA,4773,Manyoni Mashariki,Singida
WILSON Njiku Kingo,CHAUMMA,219,Manyoni Mashariki,Singida
EMMANUEL David Allute,TLP,418,Manyoni Mashariki,Singida
RAMADHANI Abeid Ighondo,CCM,43847,Singida Kaskazini,Singida
NYALANDU Lazaro Samuel,CHADEMA,15555,Singida Kaskazini,Singida
DALPHINA Patrick Mngazija,CUF,137,Singida Kaskazini,Singida
RESTITUTA Saidi Njoka,NCCR-Mageuzi,128,Singida Kaskazini,Singida
MARIA David Mwesa,SAU,15,Singida Kaskazini,Singida
YESAYA Abel Mande,UDP,96,Singida Kaskazini,Singida
SUPHIAN Juma Nkuwi,ACT-Wazalendo,902,Singida Magharibi,Singida
KINGU Elibariki Immanuel,CCM,32720,Singida Magharibi,Singida
KULUNGU Hemedi Ramadhani,CHADEMA,7446,Singida Magharibi,Singida
